"drug_name","drug_id","ind_name","ind_id","NCT","status","phase","DetailedStatus"
"Oxaliplatin","DB00526","Malignant tumor of colon","C0007102","NCT00087334","Terminated","Phase 1/Phase 2","Withdrawn due to poor/low accrual"
"Capecitabine","DB01101","Malignant tumor of colon","C0007102","NCT00087334","Terminated","Phase 1/Phase 2","Withdrawn due to poor/low accrual"
"Amphetamine","DB00182","Depressive disorder","C0011581","NCT00069927","Terminated","Phase 2","Only 12 subjects enrolled. DSMB recommended closing due to lack of feasibility"
"Methylphenidate","DB00422","Depressive disorder","C0011581","NCT00069927","Terminated","Phase 2","Only 12 subjects enrolled. DSMB recommended closing due to lack of feasibility"
"Amphetamine","DB00182","Neurotoxicity Syndromes","C0235032","NCT00069927","Terminated","Phase 2","Only 12 subjects enrolled. DSMB recommended closing due to lack of feasibility"
"Methylphenidate","DB00422","Neurotoxicity Syndromes","C0235032","NCT00069927","Terminated","Phase 2","Only 12 subjects enrolled. DSMB recommended closing due to lack of feasibility"
"Amphetamine","DB00182","unspecified childhood solid tumor, protocol specific","C0279002","NCT00069927","Terminated","Phase 2","Only 12 subjects enrolled. DSMB recommended closing due to lack of feasibility"
"Methylphenidate","DB00422","unspecified childhood solid tumor, protocol specific","C0279002","NCT00069927","Terminated","Phase 2","Only 12 subjects enrolled. DSMB recommended closing due to lack of feasibility"
"Alemtuzumab","DB00087","Chronic myeloproliferative disorder","C1292778","NCT00069992","Terminated","Phase 2","Closed due to competing protocols"
"Fludarabine","DB01073","Chronic myeloproliferative disorder","C1292778","NCT00069992","Terminated","Phase 2","Closed due to competing protocols"
"Alemtuzumab","DB00087","leukemia","C0023418","NCT00069992","Terminated","Phase 2","Closed due to competing protocols"
"Fludarabine","DB01073","leukemia","C0023418","NCT00069992","Terminated","Phase 2","Closed due to competing protocols"
"Romidepsin","DB06176","Renal Pelvis and Ureter Urothelial Carcinoma","C0220648","NCT00087295","Terminated","Phase 2","Permanently Closed Due to Poor Accrual"
"Romidepsin","DB06176","Urethral Carcinoma","C0700101","NCT00087295","Terminated","Phase 2","Permanently Closed Due to Poor Accrual"
"Erlotinib","DB00530","Stage IA Non-Small Cell Lung Carcinoma","C1336119","NCT00087269","Terminated","Phase 2",""
"Erlotinib","DB00530","Stage IB Non-Small Cell Lung Carcinoma","C1336139","NCT00087269","Terminated","Phase 2",""
"Erlotinib","DB00530","Stage IIA Non-Small Cell Lung Carcinoma","C1336167","NCT00087269","Terminated","Phase 2",""
"Erlotinib","DB00530","Stage IIB Non-Small Cell Lung Carcinoma","C1336190","NCT00087269","Terminated","Phase 2",""
"Erlotinib","DB00530","Non-small cell lung cancer stage IIIA","C0278983","NCT00087269","Terminated","Phase 2",""
"Bevacizumab","DB00112","Adenocarcinoma of colon","C0338106","NCT00070122","Terminated","Phase 3","Administratively complete."
"Oxaliplatin","DB00526","Adenocarcinoma of colon","C0338106","NCT00070122","Terminated","Phase 3","Administratively complete."
"Fluorouracil","DB00544","Adenocarcinoma of colon","C0338106","NCT00070122","Terminated","Phase 3","Administratively complete."
"Leucovorin","DB00650","Adenocarcinoma of colon","C0338106","NCT00070122","Terminated","Phase 3","Administratively complete."
"Capecitabine","DB01101","Adenocarcinoma of colon","C0338106","NCT00070122","Terminated","Phase 3","Administratively complete."
"Levoleucovorin","DB11596","Adenocarcinoma of colon","C0338106","NCT00070122","Terminated","Phase 3","Administratively complete."
"Bevacizumab","DB00112","Adenocarcinoma of rectum","C0149978","NCT00070122","Terminated","Phase 3","Administratively complete."
"Oxaliplatin","DB00526","Adenocarcinoma of rectum","C0149978","NCT00070122","Terminated","Phase 3","Administratively complete."
"Fluorouracil","DB00544","Adenocarcinoma of rectum","C0149978","NCT00070122","Terminated","Phase 3","Administratively complete."
"Leucovorin","DB00650","Adenocarcinoma of rectum","C0149978","NCT00070122","Terminated","Phase 3","Administratively complete."
"Capecitabine","DB01101","Adenocarcinoma of rectum","C0149978","NCT00070122","Terminated","Phase 3","Administratively complete."
"Levoleucovorin","DB11596","Adenocarcinoma of rectum","C0149978","NCT00070122","Terminated","Phase 3","Administratively complete."
"Bevacizumab","DB00112","Colon cancer recurrent","C0278553","NCT00070122","Terminated","Phase 3","Administratively complete."
"Oxaliplatin","DB00526","Colon cancer recurrent","C0278553","NCT00070122","Terminated","Phase 3","Administratively complete."
"Fluorouracil","DB00544","Colon cancer recurrent","C0278553","NCT00070122","Terminated","Phase 3","Administratively complete."
"Leucovorin","DB00650","Colon cancer recurrent","C0278553","NCT00070122","Terminated","Phase 3","Administratively complete."
"Capecitabine","DB01101","Colon cancer recurrent","C0278553","NCT00070122","Terminated","Phase 3","Administratively complete."
"Levoleucovorin","DB11596","Colon cancer recurrent","C0278553","NCT00070122","Terminated","Phase 3","Administratively complete."
"Bevacizumab","DB00112","Recurrent Rectal Cancer","C0278554","NCT00070122","Terminated","Phase 3","Administratively complete."
"Oxaliplatin","DB00526","Recurrent Rectal Cancer","C0278554","NCT00070122","Terminated","Phase 3","Administratively complete."
"Fluorouracil","DB00544","Recurrent Rectal Cancer","C0278554","NCT00070122","Terminated","Phase 3","Administratively complete."
"Leucovorin","DB00650","Recurrent Rectal Cancer","C0278554","NCT00070122","Terminated","Phase 3","Administratively complete."
"Capecitabine","DB01101","Recurrent Rectal Cancer","C0278554","NCT00070122","Terminated","Phase 3","Administratively complete."
"Levoleucovorin","DB11596","Recurrent Rectal Cancer","C0278554","NCT00070122","Terminated","Phase 3","Administratively complete."
"Oxaliplatin","DB00526","Secondary malignant neoplasm of liver","C0494165","NCT00070265","Terminated","Phase 2","Administratively complete."
"Fluorouracil","DB00544","Secondary malignant neoplasm of liver","C0494165","NCT00070265","Terminated","Phase 2","Administratively complete."
"Capecitabine","DB01101","Secondary malignant neoplasm of liver","C0494165","NCT00070265","Terminated","Phase 2","Administratively complete."
"Oxaliplatin","DB00526","Colon cancer recurrent","C0278553","NCT00070265","Terminated","Phase 2","Administratively complete."
"Fluorouracil","DB00544","Colon cancer recurrent","C0278553","NCT00070265","Terminated","Phase 2","Administratively complete."
"Capecitabine","DB01101","Colon cancer recurrent","C0278553","NCT00070265","Terminated","Phase 2","Administratively complete."
"Oxaliplatin","DB00526","Recurrent Rectal Cancer","C0278554","NCT00070265","Terminated","Phase 2","Administratively complete."
"Fluorouracil","DB00544","Recurrent Rectal Cancer","C0278554","NCT00070265","Terminated","Phase 2","Administratively complete."
"Capecitabine","DB01101","Recurrent Rectal Cancer","C0278554","NCT00070265","Terminated","Phase 2","Administratively complete."
"Oxaliplatin","DB00526","Malignant tumor of colon","C0007102","NCT00070434","Withdrawn","Phase 2","poor accrual"
"Irinotecan","DB00762","Malignant tumor of colon","C0007102","NCT00070434","Withdrawn","Phase 2","poor accrual"
"Levoleucovorin","DB11596","Malignant tumor of colon","C0007102","NCT00070434","Withdrawn","Phase 2","poor accrual"
"Gefitinib","DB00317","Malignant neoplasm of lung","C0242379","NCT00091156","Terminated","Phase 3","low accrual"
"Triptorelin","DB06825","Drug toxicity","C0013221","NCT00090844","Terminated","Phase 2","Early closure due to low accrual"
"Fluorouracil","DB00544","Biliary Tract Cancer","C0750952","NCT00090025","Terminated","Phase 3","Futility reasons after Independent Data Monitoring Committee interim analysis"
"Celecoxib","DB00482","Malignant tumor of colon","C0007102","NCT00087256","Terminated","Phase 3","For scientific, logistic, and administrative reasons."
"Capsaicin","DB06774","Peripheral Neuropathy","C0031117","NCT00085761","Terminated","Phase 3","Terminated in view of the C107 findings demonstrating efficacy at doses of 90 and 30 minutes"
"Capsaicin","DB06774","Pain","C0030193","NCT00085761","Terminated","Phase 3","Terminated in view of the C107 findings demonstrating efficacy at doses of 90 and 30 minutes"
"Gefitinib","DB00317","Recurrent Head and Neck Carcinoma","C1335703","NCT00088907","Terminated","Phase 3","It was unlikely that the primary endpoint would be reached based on the fifth interim analysis    results."
"Docetaxel","DB01248","Recurrent Head and Neck Carcinoma","C1335703","NCT00088907","Terminated","Phase 3","It was unlikely that the primary endpoint would be reached based on the fifth interim analysis    results."
"Gefitinib","DB00317","Head and neck cancer metastatic","C0744619","NCT00088907","Terminated","Phase 3","It was unlikely that the primary endpoint would be reached based on the fifth interim analysis    results."
"Docetaxel","DB01248","Head and neck cancer metastatic","C0744619","NCT00088907","Terminated","Phase 3","It was unlikely that the primary endpoint would be reached based on the fifth interim analysis    results."
"Metronidazole","DB00916","Small cell lung cancer extensive stage","C0278726","NCT00088933","Terminated","Phase 1",""
"Docetaxel","DB01248","Small cell lung cancer extensive stage","C0278726","NCT00088933","Terminated","Phase 1",""
"Metronidazole","DB00916","Colon cancer recurrent","C0278553","NCT00088933","Terminated","Phase 1",""
"Docetaxel","DB01248","Colon cancer recurrent","C0278553","NCT00088933","Terminated","Phase 1",""
"Metronidazole","DB00916","Non-small cell lung cancer recurrent","C0278517","NCT00088933","Terminated","Phase 1",""
"Docetaxel","DB01248","Non-small cell lung cancer recurrent","C0278517","NCT00088933","Terminated","Phase 1",""
"Metronidazole","DB00916","Recurrent Rectal Cancer","C0278554","NCT00088933","Terminated","Phase 1",""
"Docetaxel","DB01248","Recurrent Rectal Cancer","C0278554","NCT00088933","Terminated","Phase 1",""
"Metronidazole","DB00916","Small cell lung cancer recurrent","C0278727","NCT00088933","Terminated","Phase 1",""
"Docetaxel","DB01248","Small cell lung cancer recurrent","C0278727","NCT00088933","Terminated","Phase 1",""
"Metronidazole","DB00916","Non-small cell lung cancer metastatic","C0278987","NCT00088933","Terminated","Phase 1",""
"Docetaxel","DB01248","Non-small cell lung cancer metastatic","C0278987","NCT00088933","Terminated","Phase 1",""
"Romidepsin","DB06176","Ovarian epithelial cancer recurrent","C0278689","NCT00091195","Terminated","Phase 2","Administratively complete."
"Romidepsin","DB06176","Gastrinoma","C0017150","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","Glucagonoma","C0017689","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","insulinoma","C0021670","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","pancreatic polypeptide tumor","C1882278","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","Carcinoid tumor of lung","C0280089","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","recurrent gastrointestinal carcinoid tumor","C0278750","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","recurrent islet cell carcinoma","C0278843","NCT00084461","Terminated","Phase 2",""
"Romidepsin","DB06176","regional gastrointestinal carcinoid tumor","C0278748","NCT00084461","Terminated","Phase 2",""
"Valsartan","DB00177","Kidney Diseases","C0022658","NCT00089518","Withdrawn","Phase 3",""
"Capsaicin","DB06774","Diabetic Neuropathies","C0011882","NCT00089557","Terminated","Phase 2",""
"Capsaicin","DB06774","Diabetes Mellitus","C0011849","NCT00089557","Terminated","Phase 2",""
"Capsaicin","DB06774","Polyneuropathy","C0152025","NCT00089557","Terminated","Phase 2",""
"Capsaicin","DB06774","Herpes zoster disease","C0019360","NCT00089557","Terminated","Phase 2",""
"Capsaicin","DB06774","Pain","C0030193","NCT00089557","Terminated","Phase 2",""
"Capsaicin","DB06774","Peripheral Neuropathy","C0031117","NCT00089557","Terminated","Phase 2",""
"Metronidazole","DB00916","Melanoma recurrent","C0278884","NCT00087373","Terminated","Phase 2",""
"Doxorubicin","DB00997","recurrent adult soft tissue sarcoma","C0278665","NCT00089544","Terminated","Phase 2",""
"Thalidomide","DB01041","recurrent adult soft tissue sarcoma","C0278665","NCT00089544","Terminated","Phase 2",""
"Ifosfamide","DB01181","recurrent adult soft tissue sarcoma","C0278665","NCT00089544","Terminated","Phase 2",""
"Doxorubicin","DB00997","stage I adult soft tissue sarcoma","C0278661","NCT00089544","Terminated","Phase 2",""
"Thalidomide","DB01041","stage I adult soft tissue sarcoma","C0278661","NCT00089544","Terminated","Phase 2",""
"Ifosfamide","DB01181","stage I adult soft tissue sarcoma","C0278661","NCT00089544","Terminated","Phase 2",""
"Doxorubicin","DB00997","stage II adult soft tissue sarcoma","C0278662","NCT00089544","Terminated","Phase 2",""
"Thalidomide","DB01041","stage II adult soft tissue sarcoma","C0278662","NCT00089544","Terminated","Phase 2",""
"Ifosfamide","DB01181","stage II adult soft tissue sarcoma","C0278662","NCT00089544","Terminated","Phase 2",""
"Doxorubicin","DB00997","stage III adult soft tissue sarcoma","C0278663","NCT00089544","Terminated","Phase 2",""
"Thalidomide","DB01041","stage III adult soft tissue sarcoma","C0278663","NCT00089544","Terminated","Phase 2",""
"Ifosfamide","DB01181","stage III adult soft tissue sarcoma","C0278663","NCT00089544","Terminated","Phase 2",""
"Rituximab","DB00073","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00088881","Terminated","Phase 2",""
"Rituximab","DB00073","Mucosa-Associated Lymphoid Tissue Lymphoma","C0242647","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","Mucosa-Associated Lymphoid Tissue Lymphoma","C0242647","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","Mucosa-Associated Lymphoid Tissue Lymphoma","C0242647","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","Mucosa-Associated Lymphoid Tissue Lymphoma","C0242647","NCT00088881","Terminated","Phase 2",""
"Rituximab","DB00073","Monocytoid B-cell lymphoma","C0855139","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","Monocytoid B-cell lymphoma","C0855139","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","Monocytoid B-cell lymphoma","C0855139","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","Monocytoid B-cell lymphoma","C0855139","NCT00088881","Terminated","Phase 2",""
"Rituximab","DB00073","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00088881","Terminated","Phase 2",""
"Rituximab","DB00073","Splenic Marginal Zone B-Cell Lymphoma","C0349632","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","Splenic Marginal Zone B-Cell Lymphoma","C0349632","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","Splenic Marginal Zone B-Cell Lymphoma","C0349632","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","Splenic Marginal Zone B-Cell Lymphoma","C0349632","NCT00088881","Terminated","Phase 2",""
"Rituximab","DB00073","stage I adult diffuse large cell lymphoma","C0279960","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","stage I adult diffuse large cell lymphoma","C0279960","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","stage I adult diffuse large cell lymphoma","C0279960","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","stage I adult diffuse large cell lymphoma","C0279960","NCT00088881","Terminated","Phase 2",""
"Rituximab","DB00073","Malignant lymphoma of testis","C0349644","NCT00088881","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","Malignant lymphoma of testis","C0349644","NCT00088881","Terminated","Phase 2",""
"Vincristine","DB00541","Malignant lymphoma of testis","C0349644","NCT00088881","Terminated","Phase 2",""
"Doxorubicin","DB00997","Malignant lymphoma of testis","C0349644","NCT00088881","Terminated","Phase 2",""
"Ifosfamide","DB01181","unspecified adult solid tumor, protocol specific","C0279004","NCT00086970","Terminated","Phase 1","Administratively complete."
"Vitamin C","DB00126","refractory plasma cell neoplasm","C0278620","NCT00085345","Withdrawn","Phase 2",""
"Melphalan","DB01042","refractory plasma cell neoplasm","C0278620","NCT00085345","Withdrawn","Phase 2",""
"Arsenic trioxide","DB01169","refractory plasma cell neoplasm","C0278620","NCT00085345","Withdrawn","Phase 2",""
"Oxaliplatin","DB00526","unspecified adult solid tumor, protocol specific","C0279004","NCT00086983","Terminated","Phase 1",""
"Rituximab","DB00073","leukemia","C0023418","NCT00087009","Terminated","Phase 1","Lack of Accrual"
"Rituximab","DB00073","Lymphoproliferative Disorders","C0024314","NCT00087009","Terminated","Phase 1","Lack of Accrual"
"Topotecan","DB01030","Malignant neoplasm of lung","C0242379","NCT00087048","Terminated","Phase 2","Slow accrual"
"Sirolimus","DB00877","Rheumatoid Arthritis","C0003873","NCT00076206","Terminated","Phase 2",""
"Everolimus","DB01590","Rheumatoid Arthritis","C0003873","NCT00076206","Terminated","Phase 2",""
"Pegfilgrastim","DB00019","Central Nervous System Neoplasms","C0085136","NCT00107471","Terminated","Phase 1/Phase 2","The unpromising experience of the French group with topotecan given at a dosage of 0.4    mg/m2/day over 30 mins w/in 1 hr of radiation (Cancer 2005; 104: 2792)."
"Topotecan","DB01030","Central Nervous System Neoplasms","C0085136","NCT00107471","Terminated","Phase 1/Phase 2","The unpromising experience of the French group with topotecan given at a dosage of 0.4    mg/m2/day over 30 mins w/in 1 hr of radiation (Cancer 2005; 104: 2792)."
"Vancomycin","DB00512","Bacteremia","C0004610","NCT00108433","Terminated","Phase 3","See Detailed Description"
"Linezolid","DB00601","Bacteremia","C0004610","NCT00108433","Terminated","Phase 3","See Detailed Description"
"Cefazolin","DB01327","Bacteremia","C0004610","NCT00108433","Terminated","Phase 3","See Detailed Description"
"Vancomycin","DB00512","Gram-Positive Bacterial Infections","C0085426","NCT00108433","Terminated","Phase 3","See Detailed Description"
"Linezolid","DB00601","Gram-Positive Bacterial Infections","C0085426","NCT00108433","Terminated","Phase 3","See Detailed Description"
"Cefazolin","DB01327","Gram-Positive Bacterial Infections","C0085426","NCT00108433","Terminated","Phase 3","See Detailed Description"
"Niacin","DB00627","Kidney Failure, Chronic","C0022661","NCT00108485","Terminated","Phase 3","Unable to recruit sufficient study subjects"
"Sorafenib","DB00398","Conventional (Clear Cell) Renal Cell Carcinoma","C0279702","NCT00098618","Terminated","Phase 2",""
"Nicotinamide","DB02701","Conventional (Clear Cell) Renal Cell Carcinoma","C0279702","NCT00098618","Terminated","Phase 2",""
"Rituximab","DB00073","recurrent grade 1 follicular lymphoma","C0280182","NCT00079443","Terminated","Phase 2",""
"Fludarabine","DB01073","recurrent grade 1 follicular lymphoma","C0280182","NCT00079443","Terminated","Phase 2",""
"Romidepsin","DB06176","recurrent grade 1 follicular lymphoma","C0280182","NCT00079443","Terminated","Phase 2",""
"Rituximab","DB00073","recurrent grade 2 follicular lymphoma","C0280183","NCT00079443","Terminated","Phase 2",""
"Fludarabine","DB01073","recurrent grade 2 follicular lymphoma","C0280183","NCT00079443","Terminated","Phase 2",""
"Romidepsin","DB06176","recurrent grade 2 follicular lymphoma","C0280183","NCT00079443","Terminated","Phase 2",""
"Rituximab","DB00073","B-cell small lymphocytic lymphoma recurrent","C0855096","NCT00079443","Terminated","Phase 2",""
"Fludarabine","DB01073","B-cell small lymphocytic lymphoma recurrent","C0855096","NCT00079443","Terminated","Phase 2",""
"Romidepsin","DB06176","B-cell small lymphocytic lymphoma recurrent","C0855096","NCT00079443","Terminated","Phase 2",""
"Infliximab","DB00065","Berylliosis","C0005138","NCT00111917","Terminated","Phase 1/Phase 2","Not enough patients meeting criteria to enroll in the time period"
"Vorinostat","DB02546","Multiple Myeloma","C0026764","NCT00109109","Terminated","Phase 1",""
"Trimethoprim","DB00440","HIV Infections","C0019693","NCT00080119","Terminated","Phase 2/Phase 3","Data Safety Monitoring Board (DSMB) recommended stopping study due to futility"
"Isoniazid","DB00951","HIV Infections","C0019693","NCT00080119","Terminated","Phase 2/Phase 3","Data Safety Monitoring Board (DSMB) recommended stopping study due to futility"
"Sulfamethoxazole","DB01015","HIV Infections","C0019693","NCT00080119","Terminated","Phase 2/Phase 3","Data Safety Monitoring Board (DSMB) recommended stopping study due to futility"
"Trimethoprim","DB00440","Tuberculosis","C0041296","NCT00080119","Terminated","Phase 2/Phase 3","Data Safety Monitoring Board (DSMB) recommended stopping study due to futility"
"Isoniazid","DB00951","Tuberculosis","C0041296","NCT00080119","Terminated","Phase 2/Phase 3","Data Safety Monitoring Board (DSMB) recommended stopping study due to futility"
"Sulfamethoxazole","DB01015","Tuberculosis","C0041296","NCT00080119","Terminated","Phase 2/Phase 3","Data Safety Monitoring Board (DSMB) recommended stopping study due to futility"
"Exemestane","DB00990","Breast cancer stage II","C0278486","NCT00080613","Withdrawn","Phase 2",""
"Lenalidomide","DB00480","Reflex Sympathetic Dystrophy","C0034931","NCT00109772","Terminated","Phase 2","Interim analysis showed the primary outcome was not reached"
"Thalidomide","DB01041","Reflex Sympathetic Dystrophy","C0034931","NCT00109772","Terminated","Phase 2","Interim analysis showed the primary outcome was not reached"
"Alemtuzumab","DB00087","Lymphoma, Non-Hodgkin","C0024305","NCT00077961","Terminated","Phase 1/Phase 2",""
"Trastuzumab","DB00072","Breast cancer recurrent","C0278493","NCT00079326","Terminated","Phase 2","Slow accrual."
"Imatinib","DB00619","chronic myelogenous leukemia in relapse","C0278787","NCT00101088","Terminated","Phase 1",""
"Sirolimus","DB00877","chronic myelogenous leukemia in relapse","C0278787","NCT00101088","Terminated","Phase 1",""
"Everolimus","DB01590","chronic myelogenous leukemia in relapse","C0278787","NCT00101088","Terminated","Phase 1",""
"Lopinavir","DB01601","Human immunodeficiency virus I infection","C0276500","NCT00102778","Terminated","Phase 2",""
"Rituximab","DB00073","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00080847","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00080847","Terminated","Phase 2",""
"Vincristine","DB00541","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00080847","Terminated","Phase 2",""
"Prednisone","DB00635","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00080847","Terminated","Phase 2",""
"Doxorubicin","DB00997","contiguous stage II adult diffuse large cell lymphoma","C0677695","NCT00080847","Terminated","Phase 2",""
"Rituximab","DB00073","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00080847","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00080847","Terminated","Phase 2",""
"Vincristine","DB00541","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00080847","Terminated","Phase 2",""
"Prednisone","DB00635","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00080847","Terminated","Phase 2",""
"Doxorubicin","DB00997","noncontiguous stage II adult diffuse large cell lymphoma","C0677709","NCT00080847","Terminated","Phase 2",""
"Rituximab","DB00073","stage III adult diffuse large cell lymphoma","C0280162","NCT00080847","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","stage III adult diffuse large cell lymphoma","C0280162","NCT00080847","Terminated","Phase 2",""
"Vincristine","DB00541","stage III adult diffuse large cell lymphoma","C0280162","NCT00080847","Terminated","Phase 2",""
"Prednisone","DB00635","stage III adult diffuse large cell lymphoma","C0280162","NCT00080847","Terminated","Phase 2",""
"Doxorubicin","DB00997","stage III adult diffuse large cell lymphoma","C0280162","NCT00080847","Terminated","Phase 2",""
"Rituximab","DB00073","stage IV adult diffuse large cell lymphoma","C0280175","NCT00080847","Terminated","Phase 2",""
"Cyclophosphamide","DB00531","stage IV adult diffuse large cell lymphoma","C0280175","NCT00080847","Terminated","Phase 2",""
"Vincristine","DB00541","stage IV adult diffuse large cell lymphoma","C0280175","NCT00080847","Terminated","Phase 2",""
"Prednisone","DB00635","stage IV adult diffuse large cell lymphoma","C0280175","NCT00080847","Terminated","Phase 2",""
"Doxorubicin","DB00997","stage IV adult diffuse large cell lymphoma","C0280175","NCT00080847","Terminated","Phase 2",""
"Bevacizumab","DB00112","Colorectal Neoplasms","C0009404","NCT00106054","Terminated","Phase 2","After 1 year only 2 subjects enrolled and treated thus no meaningful efficacy analyses could    be performed."
"Irinotecan","DB00762","Colorectal Neoplasms","C0009404","NCT00106054","Terminated","Phase 2","After 1 year only 2 subjects enrolled and treated thus no meaningful efficacy analyses could    be performed."
"Bevacizumab","DB00112","Liver neoplasms","C0023903","NCT00106054","Terminated","Phase 2","After 1 year only 2 subjects enrolled and treated thus no meaningful efficacy analyses could    be performed."
"Irinotecan","DB00762","Liver neoplasms","C0023903","NCT00106054","Terminated","Phase 2","After 1 year only 2 subjects enrolled and treated thus no meaningful efficacy analyses could    be performed."
"Ezetimibe","DB00973","Lipid Metabolism, Inborn Errors","C0023772","NCT00092833","Terminated","Phase 3",""
"Clofarabine","DB00631","leukemia","C0023418","NCT00081887","Terminated","Phase 1","low accrual"
"Sirolimus","DB00877","Multiple Sclerosis","C0026769","NCT00095329","Terminated","Phase 1/Phase 2",""
"Everolimus","DB01590","Multiple Sclerosis","C0026769","NCT00095329","Terminated","Phase 1/Phase 2",""
"Erlotinib","DB00530","Metastatic malignant neoplasm to brain","C0220650","NCT00096265","Terminated","Phase 3",""
"Temozolomide","DB00853","Metastatic malignant neoplasm to brain","C0220650","NCT00096265","Terminated","Phase 3",""
"Erlotinib","DB00530","Non-small cell lung cancer recurrent","C0278517","NCT00096265","Terminated","Phase 3",""
"Temozolomide","DB00853","Non-small cell lung cancer recurrent","C0278517","NCT00096265","Terminated","Phase 3",""
"Erlotinib","DB00530","Non-small cell lung cancer metastatic","C0278987","NCT00096265","Terminated","Phase 3",""
"Temozolomide","DB00853","Non-small cell lung cancer metastatic","C0278987","NCT00096265","Terminated","Phase 3",""
"Bortezomib","DB00188","adult grade III lymphomatoid granulomatosis","C1541468","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Ki-1+ Anaplastic Large Cell Lymphoma","C0206180","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Angioimmunoblastic Lymphadenopathy","C0020981","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Mucosa-Associated Lymphoid Tissue Lymphoma","C0242647","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Monocytoid B-cell lymphoma","C0855139","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","recurrent adult Burkitt's lymphoma","C0280192","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","recurrent adult diffuse large cell lymphoma","C0280188","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Cutaneous T-cell lymphoma recurrent","C0278580","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","recurrent grade 1 follicular lymphoma","C0280182","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","recurrent grade 2 follicular lymphoma","C0280183","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","recurrent grade 3 follicular lymphoma","C0280185","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Mantle cell lymphoma recurrent","C0677725","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Marginal zone lymphoma recurrent","C1541273","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","Mycosis fungoides/Sezary syndrome recurrent","C0862200","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","B-cell small lymphocytic lymphoma recurrent","C0855096","NCT00096005","Terminated","Phase 1",""
"Bortezomib","DB00188","stage III adult Burkitt's lymphoma","C0280166","NCT00096005","Terminated","Phase 1",""
